路段,时间,蓝牌车辆数,黄牌车辆数,合计,平均车速,大车混入率,拥堵路段占比,可吸入物排放量,氮氧化物排放量,一氧化碳排放量,服务水平,管控措施,路段预测流量,v2x平均车速,v2x平均车头时距,v2x车辆数,v2x行驶里程,v2x车牌号,v2x车辆类型
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:00:00,276,104,762,116,0.56,0.36,362,425,649,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,104,4,15,124,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:00:00,201,186,675,104,0.56,0.22,435,410,612,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,118,13,19,101,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:00:00,245,161,612,108,0.56,0.21,342,402,695,A,无,453,105,13,12,101,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:00:00,242,191,687,118,0.28,0.32,393,430,688,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,113,13,10,105,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:00:00,234,108,754,117,0.55,0.37,430,414,733,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,114,9,17,128,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:00:00,260,166,759,118,0.37,0.24,387,414,705,D,无,308,104,10,19,109,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:00:00,245,164,654,109,0.7,0.4,327,401,724,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,105,10,18,118,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:00:00,228,197,600,117,0.34,0.21,402,422,647,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,108,11,12,131,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:00:00,214,189,648,111,0.64,0.36,347,420,680,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,106,12,11,127,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:00:00,258,144,671,106,0.3,0.29,402,430,681,B,无,428,115,4,18,107,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:00:00,232,180,683,114,0.24,0.21,316,431,648,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,111,10,14,120,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:00:00,215,130,655,108,0.27,0.27,455,431,679,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,102,11,11,108,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:00:00,286,186,676,113,0.61,0.27,307,421,614,A,无,302,106,13,13,125,浙A***58,小汽车
路网,2021-06-12 10:01:00,274,132,662,110,0.63,0.29,493,425,679,C,无,400,116,11,19,131,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:01:00,290,137,697,114,0.54,0.35,461,405,605,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,112,11,14,107,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:01:00,261,146,605,106,0.32,0.23,484,424,715,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,116,6,18,119,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:01:00,234,132,759,116,0.62,0.32,391,414,704,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,107,7,15,114,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:01:00,203,167,670,113,0.48,0.29,305,417,609,C,无,321,116,13,18,111,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:01:00,216,180,735,114,0.48,0.29,327,416,717,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,107,14,19,126,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:01:00,276,101,643,118,0.29,0.27,374,408,702,A,无,395,116,13,18,104,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:01:00,230,140,622,108,0.38,0.39,408,429,752,A,无,348,109,11,12,126,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:01:00,261,115,669,107,0.56,0.37,307,403,701,B,无,432,103,14,12,126,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:01:00,254,141,650,103,0.24,0.23,464,408,701,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,105,12,12,109,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:01:00,262,147,733,117,0.35,0.25,483,418,751,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,113,11,12,123,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:01:00,299,166,749,110,0.47,0.25,346,410,650,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,107,7,13,131,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:01:00,232,111,768,103,0.41,0.28,462,421,737,A,无,453,105,9,19,121,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:01:00,265,103,760,108,0.25,0.33,394,424,739,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,108,7,15,101,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:01:00,296,132,606,111,0.65,0.25,481,423,634,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,102,9,16,127,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:01:00,228,178,718,103,0.26,0.21,343,411,672,D,无,308,118,3,11,126,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:01:00,214,191,724,108,0.36,0.24,405,404,712,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,102,9,19,128,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:01:00,200,115,706,104,0.21,0.32,467,414,704,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,105,4,19,127,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:01:00,230,195,656,111,0.61,0.38,310,414,609,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,115,7,14,115,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:01:00,262,167,791,117,0.61,0.23,356,406,738,B,无,428,113,3,10,104,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:01:00,236,181,651,106,0.7,0.21,443,427,714,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,106,9,19,127,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:01:00,215,186,690,109,0.57,0.39,314,422,618,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,102,12,17,116,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:01:00,291,118,753,104,0.69,0.26,349,423,634,A,无,302,104,5,18,109,浙A***58,小汽车
路网,2021-06-12 10:02:00,252,106,659,114,0.56,0.22,392,423,721,C,无,400,112,8,11,108,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:02:00,275,155,657,106,0.5,0.3,469,429,646,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,113,13,14,104,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:02:00,203,116,645,105,0.59,0.35,409,416,604,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,102,8,11,106,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:02:00,217,167,732,110,0.53,0.36,391,428,721,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,116,10,11,108,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:02:00,207,126,679,108,0.67,0.24,386,421,672,C,无,321,104,13,14,120,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:02:00,298,184,601,118,0.35,0.22,449,422,638,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,102,8,12,101,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:02:00,233,177,726,105,0.52,0.31,342,428,695,A,无,395,111,10,11,121,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:02:00,205,124,651,105,0.49,0.3,310,427,653,A,无,348,108,7,19,113,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:02:00,200,193,731,107,0.52,0.31,459,407,702,B,无,432,115,5,10,110,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:02:00,255,145,690,116,0.37,0.27,381,426,608,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,105,6,13,127,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:02:00,210,178,682,118,0.31,0.38,476,419,648,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,111,4,17,118,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:02:00,205,114,657,107,0.56,0.31,437,423,707,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,103,11,18,100,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:02:00,273,192,789,112,0.68,0.23,330,423,724,A,无,453,106,3,15,127,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:02:00,243,115,694,106,0.51,0.39,406,418,709,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,107,12,16,116,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:02:00,269,116,771,114,0.21,0.39,384,413,715,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,117,14,16,130,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:02:00,225,182,644,116,0.39,0.29,356,413,631,D,无,308,113,4,11,114,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:02:00,274,137,786,113,0.38,0.3,434,413,615,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,103,11,13,130,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:02:00,212,180,644,112,0.29,0.27,351,420,639,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,110,13,14,111,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:02:00,258,170,719,115,0.68,0.4,484,427,604,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,103,5,13,102,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:02:00,204,157,636,110,0.67,0.39,333,419,710,B,无,428,114,10,18,119,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:02:00,293,145,734,117,0.55,0.37,453,415,721,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,115,10,15,128,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:02:00,203,112,608,114,0.38,0.38,372,414,623,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,105,10,16,112,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:02:00,238,177,711,113,0.42,0.27,363,402,672,A,无,302,110,3,19,101,浙A***58,小汽车
路网,2021-06-12 10:03:00,263,128,677,118,0.69,0.35,307,403,643,C,无,400,113,6,12,100,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:03:00,262,173,673,109,0.7,0.36,399,401,715,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,116,11,17,118,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:03:00,231,142,643,118,0.55,0.32,394,408,628,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,117,7,15,115,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:03:00,295,104,700,105,0.37,0.31,468,412,719,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,116,11,19,125,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:03:00,230,151,685,113,0.68,0.38,458,430,649,C,无,321,113,13,16,123,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:03:00,283,106,717,117,0.49,0.25,481,408,662,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,106,7,13,105,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:03:00,287,112,748,113,0.31,0.32,348,419,652,A,无,395,105,3,14,115,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:03:00,241,126,681,106,0.62,0.34,364,414,652,A,无,348,108,12,13,114,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:03:00,282,152,704,107,0.24,0.39,445,415,749,B,无,432,102,3,13,121,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:03:00,282,139,781,112,0.68,0.26,347,401,723,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,104,13,14,117,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:03:00,275,116,677,111,0.58,0.22,416,429,630,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,118,4,13,115,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:03:00,271,166,602,106,0.35,0.31,481,425,617,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,115,9,17,104,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:03:00,266,128,768,103,0.33,0.27,354,420,661,A,无,453,113,8,19,101,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:03:00,220,110,777,117,0.23,0.31,488,400,621,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,106,3,19,109,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:03:00,233,109,636,108,0.59,0.28,446,422,670,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,106,10,16,109,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:03:00,203,140,676,109,0.48,0.3,483,427,737,D,无,308,114,5,10,125,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:03:00,205,142,756,115,0.65,0.28,432,426,681,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,110,4,18,125,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:03:00,291,120,632,113,0.29,0.37,382,405,633,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,104,6,17,122,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:03:00,268,159,760,110,0.36,0.31,474,405,605,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,115,6,11,105,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:03:00,285,100,651,107,0.32,0.26,390,427,705,B,无,428,108,13,11,118,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:03:00,219,158,769,110,0.29,0.33,350,413,723,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,103,13,17,100,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:03:00,202,192,723,107,0.52,0.4,430,421,635,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,109,10,11,123,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:03:00,240,109,679,104,0.29,0.28,334,431,610,A,无,302,102,5,14,117,浙A***58,小汽车
路网,2021-06-12 10:04:00,284,168,651,104,0.49,0.25,496,423,655,C,无,400,107,14,15,108,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:04:00,280,165,630,113,0.66,0.26,326,401,739,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,117,3,13,100,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:04:00,208,167,692,113,0.52,0.34,471,406,661,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,117,4,14,102,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:04:00,218,182,781,104,0.67,0.24,429,425,642,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,109,6,14,121,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:04:00,252,100,729,110,0.38,0.24,338,429,745,C,无,321,102,3,10,106,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:04:00,217,103,676,110,0.29,0.36,478,401,632,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,108,5,14,124,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:04:00,259,142,739,110,0.22,0.37,351,414,618,A,无,395,103,9,13,112,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:04:00,219,192,646,112,0.38,0.32,461,428,641,A,无,348,108,3,18,107,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:04:00,267,154,627,117,0.33,0.35,426,407,622,B,无,432,112,9,19,105,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:04:00,293,109,710,109,0.51,0.25,470,418,687,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,106,4,10,117,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:04:00,271,153,798,117,0.38,0.31,461,412,695,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,105,7,14,114,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:04:00,225,121,714,106,0.38,0.21,389,429,685,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,112,7,16,100,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:04:00,251,104,796,110,0.35,0.2,401,400,694,A,无,453,116,13,15,121,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:04:00,211,158,708,115,0.57,0.32,421,412,721,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,104,13,11,127,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:04:00,256,125,704,109,0.64,0.27,368,418,659,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,102,14,16,124,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:04:00,278,197,763,104,0.37,0.36,404,408,610,D,无,308,117,8,16,129,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:04:00,255,105,653,110,0.3,0.35,385,401,738,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,112,5,10,117,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:04:00,238,187,645,115,0.25,0.32,468,415,676,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,115,5,16,107,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:04:00,276,141,672,110,0.57,0.21,468,424,716,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,102,9,10,121,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:04:00,234,122,750,107,0.41,0.33,483,424,652,B,无,428,107,12,14,118,浙A***58,小汽车
